Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
32,2628869374,intraffic99,0,149.85,P Cristian Javier P Griffin Canning OF Mike Trout 1B Vladimir Guerrero Jr. 3B Anthony Rendon SS Carlos Correa 2B David Fletcher C Jason Castro OF Dexter Fowler OF Tony Kemp,,Matt Chapman,3B,10.05%,0
34,2628344645,bgeistusn (11/150),0,148.85,P Cristian Javier P Griffin Canning OF Mike Trout 3B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa 1B Yuli Gurriel C Kurt Suzuki OF Justin Upton OF Myles Straw,,Matt Olson,1B,10.04%,0
35,2628181036,EmceeDusty44 (22/150),0,148.3,P Cristian Javier P Ross Stripling OF Mike Trout OF Yordan Alvarez SS Carlos Correa 3B Cavan Biggio 2B David Fletcher 1B Jared Walsh C Kurt Suzuki OF Justin Upton,,Dexter Fowler,OF,9.99%,13
35,2628181109,EmceeDusty44 (95/150),0,148.3,P Cristian Javier P Ross Stripling OF Mike Trout OF Yordan Alvarez 3B Vladimir Guerrero Jr. SS Carlos Correa 1B Jared Walsh C Danny Jansen 2B Joe Panik OF Dexter Fowler,,Joe Panik,2B,8.83%,5
37,2628716439,Txranger16,0,147.85,P Cristian Javier P Griffin Canning OF Mike Trout 2B Jose Altuve SS Carlos Correa 3B Cavan Biggio 1B Yuli Gurriel C Jason Castro OF Myles Straw OF Dexter Fowler,,Mitch Moreland,1B,8.69%,3
38,2628181019,EmceeDusty44 (5/150),0,147.3,P Cristian Javier P Ross Stripling OF Mike Trout 1B Vladimir Guerrero Jr. 3B Anthony Rendon 2B Jose Altuve SS Carlos Correa C Kurt Suzuki OF Justin Upton OF Myles Straw,,Tony Kemp,2B,7.74%,4
38,2628942792,kayboyjadearoor1,0,147.3,P Cristian Javier P Ross Stripling OF Mike Trout OF Yordan Alvarez 1B Vladimir Guerrero Jr. 3B Anthony Rendon 2B David Fletcher C Kurt Suzuki SS José Iglesias OF Myles Straw,,Elvis Andrus,SS,6.81%,5
40,2628032868,blink182roo,0,146.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 2B Jose Altuve 3B Cavan Biggio 1B Jared Walsh C Jason Castro SS José Iglesias OF Dexter Fowler,,Seth Brown,1B,6.29%,0
40,2628714445,kviola,0,146.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 3B Vladimir Guerrero Jr. SS Carlos Correa OF Kyle Tucker C Kurt Suzuki 2B Joe Panik 1B Seth Brown,,Aledmys Díaz,3B,1.79%,0
40,2628909813,partyhardworkharder (78/150),0,146.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 2B Jose Altuve 3B Cavan Biggio 1B Jared Walsh C Kurt Suzuki SS José Iglesias OF Dexter Fowler,,Jed Lowrie,2B,1.12%,5
40,2628930443,ripking,0,146.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 2B Jose Altuve 3B Cavan Biggio 1B Jared Walsh C Kurt Suzuki SS José Iglesias OF Dexter Fowler,,Max Stassi,C,0.94%,0
44,2628843149,winchester1989 (12/21),0,146.65,P Cristian Javier P Cole Irvin OF Mike Trout OF Yordan Alvarez 2B Jose Altuve 1B Matt Olson SS Carlos Correa 3B Cavan Biggio C Kurt Suzuki OF Myles Straw,,Martín Maldonado,C,0.67%,0
45,2628430202,pup2021,0,146.3,P Cristian Javier P Ross Stripling OF Mike Trout 1B Vladimir Guerrero Jr. SS Carlos Correa 3B Cavan Biggio OF Mark Canha 2B Jed Lowrie C Jason Castro OF Justin Upton,,George Springer,OF,0.62%,0
45,2628746578,obo222,0,146.3,P Cristian Javier P Ross Stripling OF Mike Trout OF Yordan Alvarez 1B Vladimir Guerrero Jr. 3B Cavan Biggio OF Shohei Ohtani C Kurt Suzuki 2B Joe Panik SS José Iglesias,,Frank Schwindel,1B,0.57%,0
45,2628874501,havenots814,0,146.3,P Cristian Javier P Ross Stripling OF Mike Trout 3B Alex Bregman 1B Vladimir Guerrero Jr. 2B Jose Altuve SS Carlos Correa C Kurt Suzuki OF Myles Straw OF Dexter Fowler,,Stephen Piscotty,OF,0.52%,9
45,2628942248,credmc,0,146.3,P Cristian Javier P Ross Stripling OF Mike Trout OF Yordan Alvarez 1B Vladimir Guerrero Jr. 3B Cavan Biggio OF Shohei Ohtani C Kurt Suzuki 2B Joe Panik SS José Iglesias,,Rowdy Tellez,1B,0.50%,2
49,2628891290,jxh128,0,146.25,P Cristian Javier OF Yordan Alvarez 1B Vladimir Guerrero Jr. 2B Jose Altuve OF Teoscar Hernández SS Carlos Correa 3B Cavan Biggio OF Myles Straw C Austin Allen P Ryan Pressly,,Austin Allen,C,0.22%,0
50,2628096118,dtdudley,0,145.85,P Cristian Javier P Griffin Canning OF Mike Trout OF Yordan Alvarez 2B Jose Altuve 3B Cavan Biggio 1B Jared Walsh C Sean Murphy SS José Iglesias OF Myles Straw,,Bryan Abreu,P,0.14%,0
